0	1
0	25
1	0
1	25
1	33
1	34
1	38
1	47
2	21
5	21
5	39
6	7
7	6
7	21
7	36
7	37
7	39
7	47
8	25
11	13
11	14
11	25
11	38
11	42
11	46
11	49
11	49
12	39
12	22
13	11
13	39
13	41
14	11
14	39
15	1
15	22
15	36
15	38
15	39
15	40
15	53
15	54
18	11
18	39
18	50
20	39
21	38
21	32
21	15
21	20
25	1
25	39
25	48
25	56
28	32
31	38
32	39
32	21
33	39
36	49
37	7
7	37
38	1
1	38
38	40
40	38
38	41
41	38
38	39
39	38
40	38
38	40
42	39
39	42
42	21
21	42
42	21
21	42
42	11
11	42
43	43
46	39
39	46
46	11
11	46
49	39
39	49
49	21
21	49
49	21
21	49
49	11
11	49
50	33
53	38
54	38
56	33
