0	1
0	2
0	3
0	4
1	1
1	2
1	3
1	4
4	1
4	2
4	3
4	4
2	1
2	2
2	3
2	4
5	1
5	2
5	3
5	4
3	1
3	2
3	3
3	4
9	1
9	2
9	3
9	4
19	1
19	2
19	3
19	4
16	1
16	2
16	3
16	4
11	1
11	2
11	3
11	4
20	1
20	2
20	3
20	4
21	1
21	2
21	3
21	4
22	1
22	2
22	3
22	4
28	1
28	2
28	3
28	4
25	1
25	2
25	3
25	4
29	1
29	2
29	3
29	4
30	1
30	2
30	3
30	4
31	1
31	2
31	3
31	4
34	1
34	2
34	3
34	4
32	1
32	2
32	3
32	4
33	1
33	2
33	3
33	4
38	1
38	2
38	3
38	4
36	1
36	2
36	3
36	4
40	1
40	2
40	3
40	4
39	1
39	2
39	3
39	4
42	1
42	2
42	3
42	4
48	1
48	2
48	3
48	4
53	1
53	2
53	3
53	4
50	1
50	2
50	3
50	4
51	1
51	2
51	3
51	4
52	1
52	2
52	3
52	4
54	1
54	2
54	3
54	4
57	1
57	2
57	3
57	4
56	1
56	2
56	3
56	4
47	1
47	2
47	3
47	4
45	1
45	2
45	3
45	4
55	1
55	2
55	3
55	4
58	1
58	2
58	3
58	4
62	1
62	2
62	3
62	4
41	1
41	2
41	3
41	4
49	1
49	2
49	3
49	4
