1	11
1	21
1	31
1	36
1	37
1	39
1	40
1	41
1	48
1	50
1	53
1	54
2	28
3	9
3	16
3	21
3	28
3	39
4	0
4	5
4	6
4	25
4	33
4	38
4	47
5	4
5	49
5	20
5	32
6	4
6	23
6	57
7	28
7	38
8	21
8	28
8	37
8	39
8	51
8	56
9	3
9	39
11	1
11	21
11	22
11	31
11	36
11	36
11	37
11	39
11	40
11	41
11	47
11	50
11	51
11	52
11	53
11	54
11	56
11	57
12	12
12	14
13	12
13	13
14	12
14	13
15	11
15	47
15	49
16	2
16	3
16	21
16	28
16	29
16	39
17	11
18	33
18	49
18	57
19	4
19	20
20	19
20	5
20	32
21	39
21	54
21	56
21	47
21	29
21	28
22	64
22	21
22	47
22	39
22	28
22	35
22	36
22	11
23	24
24	23
24	39
24	8
24	9
24	21
25	33
25	34
26	27
26	27
26	28
27	26
27	28
28	39
28	21
28	29
29	28
29	39
29	21
30	29
31	40
31	1
31	48
31	39
31	36
32	5
32	20
32	33
32	34
33	32
33	34
34	33
34	25
35	22
35	8
35	11
35	23
36	15
36	22
36	11
36	39
39	36
36	21
21	36
36	11
11	36
37	39
37	50
37	56
39	37
37	21
21	37
37	21
21	37
37	11
11	37
41	39
40	39
39	40
40	31
31	40
40	1
1	40
40	41
41	40
41	47
47	41
43	44
44	43
47	39
39	47
47	21
21	47
47	21
21	47
42	11
11	42
47	41
41	47
48	31
31	48
49	18
18	49
50	21
50	1
50	11
50	39
21	50
50	51
51	50
50	52
52	50
50	53
53	50
50	54
54	50
50	54
54	50
50	57
57	50
51	39
51	21
21	51
50	51
51	50
51	52
52	51
51	53
53	51
51	54
54	51
51	54
54	51
51	57
57	51
52	21
52	39
21	52
50	52
52	50
52	53
53	52
52	54
54	52
52	54
54	52
52	57
57	52
53	21
53	31
53	39
53	47
53	50
53	51
53	52
53	54
53	56
53	57
54	21
54	31
54	39
54	47
54	50
54	51
54	52
54	53
54	56
54	57
56	1
56	11
56	21
56	39
56	50
56	51
56	52
56	53
56	54
56	57
57	50
57	51
57	52
57	53
57	54
57	56
64	21
64	22
64	39
