0	1	1
0	25	1
0	45	1
1	0	1
1	11	0
1	21	0
1	25	1
1	31	0
1	33	1
1	34	1
1	36	0
1	37	0
1	38	1
1	39	0
1	40	0
1	41	0
1	45	1
1	47	1
1	48	0
1	50	0
1	53	0
1	54	0
1	55	0
1	58	0
2	21	1
2	28	0
2	58	0
3	9	0
3	16	0
3	21	0
3	28	0
3	39	0
3	45	1
3	58	0
4	0	0
4	5	0
4	6	0
4	25	0
4	33	0
4	38	0
4	45	0
4	47	0
5	4	0
5	49	0
5	20	0
5	21	1
5	32	0
5	39	1
5	58	1
6	4	0
6	7	1
6	23	0
6	57	0
7	6	1
7	21	1
7	28	0
7	36	1
7	37	1
7	39	1
7	45	0
7	47	1
7	38	0
8	21	0
8	25	1
8	28	0
8	37	0
8	39	0
8	51	0
8	55	0
8	56	0
8	58	0
9	3	0
9	39	0
9	45	1
10	11	0
10	21	0
10	39	0
10	58	0
10	59	0
11	1	0
11	10	0
11	13	1
11	14	1
11	21	0
11	22	0
11	25	1
11	31	0
11	36	0
11	36	0
11	37	0
11	38	1
11	39	0
11	40	0
11	41	0
11	42	1
11	45	1
11	46	1
11	47	0
11	49	1
11	49	1
11	50	0
11	51	0
11	52	0
11	53	0
11	54	0
11	55	0
11	56	0
11	57	0
11	58	0
12	12	0
12	14	0
12	39	1
12	22	1
13	11	1
13	12	0
13	13	0
13	39	1
13	41	1
14	11	1
14	12	0
14	13	0
14	39	1
15	1	1
15	11	0
15	22	1
15	36	1
15	38	1
15	39	1
15	40	1
15	47	0
15	49	0
15	53	1
15	54	1
16	2	0
16	3	0
16	21	0
16	28	0
16	29	0
16	39	0
16	55	0
16	58	0
17	11	0
18	11	1
18	33	0
18	39	1
18	49	0
18	50	1
18	57	0
19	4	0
19	20	0
19	45	0
20	19	0
20	5	0
20	32	0
20	39	1
20	45	0
21	39	0
21	58	0
21	54	0
21	56	0
21	47	0
21	29	0
21	28	0
21	45	1
21	38	1
21	32	1
21	15	1
21	20	1
22	45	1
22	60	0
22	63	0
22	64	0
22	58	0
22	21	0
22	47	0
22	39	0
22	28	0
22	35	0
22	36	0
22	11	0
23	45	1
23	24	0
24	23	0
24	39	0
24	8	0
24	9	0
24	21	0
25	45	0
25	33	0
25	34	0
25	1	1
25	39	1
25	48	1
25	56	1
25	59	1
26	27	0
26	27	0
26	28	0
27	26	0
27	45	1
27	28	0
28	39	0
28	45	1
28	21	0
28	58	0
28	29	0
28	32	1
29	28	0
29	39	0
29	21	0
29	58	0
30	29	0
31	38	1
31	45	1
31	40	0
31	1	0
31	48	0
31	39	0
31	36	0
32	5	0
32	20	0
32	33	0
32	34	0
32	39	1
32	21	1
32	58	1
33	32	0
33	34	0
33	45	0
33	39	1
33	59	1
34	33	0
34	45	0
34	25	0
35	22	0
35	8	0
35	11	0
35	23	0
36	15	0
36	22	0
36	49	1
36	45	1
36	11	0
36	39	0
39	36	0
36	21	0
21	36	0
36	58	0
58	36	0
36	45	1
45	36	1
